3,4,5,6,7,8,9,10
"5,59","7,01","12,13","17,12","23,02","29,37","37,2","45,16"
"5,59","7,04","12,2","17,18","23,23","29,53","37,63","45,32"
"5,59","7,2","12,22","17,2","29,8","37,89","45,6","45,43"
"5,59","7,28","12,31","17,28","30,03","38,01","45,7","45,59"
"5,59","7,39","12,35","17,4","23,27","30,09","38,23","45,51"
"5,59","7,48","12,37","17,52","23,27","30,18","38,32","45,59"
"5,59","7,57","12,4","17,56","23,27","30,35","38,41","45,59"
"5,59","7,58","12,4","17,86","23,29","30,43","38,58","45,93"
"5,59","7,67","12,42","17,96","23,31","30,75","38,6",46
"5,6","7,74","12,55","18,02","30,76","38,65","46,16","46,02"
"5,6","7,79","12,61","18,05","30,82",39,"46,28","46,8"
"5,6","7,85","12,63","18,06","23,51","30,85","39,05","46,11"
"5,6","7,86","12,71","18,12","23,54","30,96","39,05","46,15"
"5,6","7,88","12,75","18,13","23,62","30,96","39,14","46,2"
"5,6","7,9","12,76","18,16","23,84","31,08","39,17","46,25"
"5,6","7,9","12,76","18,26","24,06","31,27","39,21","46,3"
"5,6","7,92","12,77","18,28","24,18","31,4","39,34","46,34"
"5,6","8,03","12,82","18,31","24,2","31,45","39,35","46,4"
"5,6","8,04","12,92","18,4","24,34","31,58","39,47","46,46"
"5,6","8,04","12,92","18,48","24,58","31,59","39,49","46,49"
"5,6","8,07","12,94","18,51","24,61","31,59","39,64","46,9"
"5,6","8,07","12,99","18,65","24,65","31,8","39,66",47
"5,6","8,09","13,05","18,77","24,79","31,81","39,69","47,04"
"5,6","8,09","13,14","18,84","24,8","31,82","39,74","47,09"
"5,6","8,12","13,19","18,9","24,84","31,96","40,01","47,14"
"5,61","8,19","13,22","18,93","24,94","31,98","40,05","47,18"
"5,61","8,2","13,26",19,"24,96","32,12","40,17","47,2"
"5,61","8,21","13,3","19,03","24,99","32,13","40,19","47,31"
"5,61","8,21","13,3","19,03","25,05","32,2","40,19","47,37"
"5,61","8,26","13,33","19,14","25,09","32,29","40,29","47,39"
"5,61","8,27","13,33","19,15","25,16","32,3","40,31","47,4"
"5,61","8,28","13,33","19,24","25,23","32,38","40,49","47,4"
"5,61","8,3","13,36","19,28","25,32","32,39","40,5","47,42"
"5,62","8,3","13,36","19,31","25,35","32,4","40,53","47,44"
"5,62","8,36","13,36","19,31","25,44","32,46","40,54","47,48"
"5,62","8,42","13,41","19,4","25,45","32,5","40,65","47,5"
"5,62","8,5","13,46","19,41","25,48","32,65","40,72","47,51"
"5,62","8,58","13,48","19,46","25,51","32,77","40,79","47,67"
"5,62","8,6","13,52","19,48","25,53","32,79","40,81","47,69"
"5,63","8,61","13,64","19,49","25,54","32,84","40,9","47,72"
"5,63","8,63","13,66","19,57","25,69","32,87","40,91","47,73"
"5,63","8,75","13,67","19,59","25,74","32,95","40,92","47,79"
"5,63","8,8","13,69","19,62","25,75","33,12","41,06","47,79"
"5,63","8,82","13,71","19,65","25,75","33,15","41,08","47,91"
"5,63","8,83","13,76","19,67","25,77","33,19","41,12","47,93"
"5,63","8,88","13,82","19,68","25,8","33,21","41,31","47,96"
"5,63","8,9","13,9","19,73","25,82","33,25","41,49","47,98"
"5,64","8,92","13,93","19,76","25,85","33,25","41,56","47,99"
"5,64","8,94","14,05","19,8","25,87","33,27","42,03",48
"5,64","8,99","14,14","19,81","25,94","33,27","42,06","48,03"
"5,64","9,01","14,19","19,86","26,1","33,39","42,19","48,09"
"5,64","9,07","14,23","19,97","26,2","33,66","42,2","48,11"
"5,64","9,1","14,26","20,12","26,21","33,67","42,21","48,13"
"5,64","9,1","14,27","20,17","26,37","33,86","42,37","40,14"
"5,64","9,12","14,36","20,29","26,4","33,87","42,5","48,2"
"5,64","9,29","14,37","20,31","26,54","33,88","43,07","48,28"
"5,65","9,3","14,39","20,34","26,6","33,92","43,16","48,32"
"5,65","9,39","14,56","20,45","26,62","34,08","43,16","48,4"
"5,65","9,44","14,56","20,57","26,62","34,12","43,46","48,43"
"5,67","9,48","14,89","20,68","26,69","34,24","43,46","48,45"
